STATE/UTS,ACTIVE
Maharashtra,13903
Kerala,61647
Karnataka,7125
Tamil Nadu,8827
Andhra Pradesh,2392
Uttar Pradesh,100
West Bengal,8045
Delhi,325
Odisha,2177
Chhattisgarh,295
Rajasthan,103
Gujarat,323
Madhya Pradesh,78
Haryana,132
Bihar,38
Telengana,3626
Assam,3103
Punjab,290
Jharkhand,130
Uttarakhand,187
Jammu And Kashmir,1696
Himachal Pradesh,1007
Goa,246
Mizoram,5046
Puducherry,317
Manipur,630
Tripura,82
Meghalaya,290
Chandigarh,28
Arunachal Pradesh,43
Sikkim,125
Nagaland,123
Ladakh,224
Dadra And Nagar Haveli And Daman And Diu,0
Lakshadweep,5
Andaman And Nicobar,6
